deal	ours_ms	dds_ms	ref_ms
1018	50.956	60.716	46.207
1019	87.769	83.488	84.247
1020	100.106	61.725	97.523
1021	32.377	43.803	30.876
1022	49.089	34.715	47.615
1023	152.514	99.430	119.044
1024	43.902	37.924	43.229
1025	168.130	276.325	157.309
1026	114.914	178.765	110.762
1027	249.405	194.562	230.955
1028	84.030	81.282	82.455
1029	11.477	11.840	11.762
1030	53.216	73.373	52.312
1031	111.469	73.325	101.691
1032	122.498	44.178	108.467
1033	354.165	315.551	326.161
1034	1479.955	2643.139	1278.643
1035	199.704	267.758	185.575
1036	306.200	299.435	251.857
1037	11.253	11.976	12.183
1038	194.325	172.966	181.239
1039	25.639	16.382	27.160
1040	21.291	13.376	22.876
1041	94.134	240.473	91.350
1042	49.344	37.559	49.088
1043	218.510	546.033	199.239
1044	103.146	63.836	94.069
1045	56.633	63.004	57.951
1046	37.685	17.626	36.454
1047	42.407	30.147	40.354
1048	15.176	10.870	15.855
1049	165.614	185.334	158.056
1050	49.623	32.949	48.590
1051	181.008	137.209	155.776
1052	46.350	52.580	43.527
1053	9.770	14.858	10.128
1054	255.956	188.802	231.012
1055	169.863	100.452	164.988
1056	172.113	106.516	167.919
1057	246.888	204.728	223.490
1058	58.674	86.826	55.637
1059	20.619	16.652	20.818
1060	127.141	148.788	122.889
1061	189.319	193.240	177.035
1062	101.938	100.974	101.462
1063	125.062	103.281	115.374
1064	57.524	61.357	57.605
1065	59.577	58.955	60.744
1066	26.676	27.235	26.100
1067	5.344	14.622	6.188
1068	244.537	237.973	221.610
1069	44.529	42.926	45.329
1070	63.264	27.255	59.274
1071	147.055	129.344	138.310
1072	190.425	251.526	179.722
1073	18.986	20.266	18.535
1074	311.695	195.653	259.495
1075	342.522	294.914	315.755
1076	100.719	47.278	96.466
1077	14.971	35.784	16.141
1078	154.013	62.125	165.580
1079	117.548	85.801	105.319
1080	191.478	254.049	186.206
1081	84.334	88.033	77.366
1082	41.821	19.026	42.461
1083	130.290	237.183	124.473
1084	12.185	16.883	13.108
1085	34.184	27.310	32.882
